0	0	1
0.08	0.090078126	0.909921874
0.2	0.222702589	0.777297411
0.3	0.328626759	0.671373241
0.4	0.428392355	0.571607645
0.5	0.520499878	0.479500122
0.6	0.603856091	0.396143909
0.7	0.677801194	0.322198806
0.8	0.742100965	0.257899035
0.9	0.796908212	0.203091788
1	0.842700793	0.157299207
1.2	0.910313978	0.089686022
1.4	0.952285120	0.047714880
1.6	0.976348383	0.023651617
1.8	0.989090502	0.010909498
2	0.995322265	0.004677735
2.2	0.998137154	0.001862846
2.4	0.999311486	0.000688514
3	0.999977910	0.000022090
